Several,A Few,Many,A Couple,Dozens,Some,Scores Of
5,5,10,4,12,15,25
5,3,12,2,24,4,35
5,4,15,2,30,10,50
5,3,10,2,24,6,30
4,3,20,2,36,12,200
15,8,30,12,80,20,100
5,3,7,6,20,10,100
15,7,68,2,56,8,20
3,5,20,10,50,5,80
3,5,7,10,50,20,100
7,4,25,2,24,4,2
6,3,50,2,36,15,100
50,5,100,15,30,20,500
12,6,15,2,24,8,50
7,4,20,2,24,5,100
5,3,40,2,60,20,100
15,6,80,4,32,30,120
10,8,50,5,60,15,80
30,15,40,8,60,20,80
7,4,15,2,12,10,10
4,5,20,2,36,8,50
10,5,20,7,28,11,30
15,5,30,6,70,20,100
10,15,25,5,40,30,100
9,5,20,4,36,6,200
7,4,15,2,36,10,80
5,3,20,2,12,5,0
8,6,10,6,24,8,30
7,3,30,7,10,7,
3,5,15,8,50,20,80
7,3,15,4,35,5,100
50,13,100,5,36,15,15
30,3,20,2,24,5,0
7,10,50,12,72,15,100
9,6,13,5,24,8,30
8,12,25,35,56,40,100
6,3,10,2,24,8,30
7,3,15,2,30,6,40
10,4,15,3,80,12,37
12,5,33,10,50,25,100
10,3,15,2,24,7,40
15,10,20,6,40,15,50
6,3,13,8,14,10,30
0.4,0.2,0.8,0.1,0.6,0.5,0.7
3,14,22,15,32,20,40
30,3,50,2,24,20,100
5,3,10,2,24,4,40
60,5,100,3,50,20,
40,4,20,6,23,8,70
10,3,30,7,24,5,100
20,10,50,12,36,4,200
6,3,9,2,12,4,20
15,10,30,8,21,7,30
40,20,60,30,50,30,230
15,6,60,5,36,10,100
20,5,60,3,56,10,100
